Id,prediction1
0,2 - Medium
1,2 - Medium
1,2 - Medium
1,2 - Medium
2,2 - Medium
3,1 - High
3,2 - Medium
4,2 - Medium
4,2 - Medium
5,2 - Medium
5,2 - Medium
5,2 - Medium
5,2 - Medium
5,2 - Medium
6,2 - Medium
6,2 - Medium
6,2 - Medium
6,2 - Medium
6,2 - Medium
7,2 - Medium
7,2 - Medium
8,2 - Medium
8,2 - Medium
8,2 - Medium
8,2 - Medium
9,2 - Medium
9,2 - Medium
10,2 - Medium
10,2 - Medium
10,2 - Medium
10,2 - Medium
11,2 - Medium
11,2 - Medium
12,2 - Medium
12,2 - Medium
13,2 - Medium
13,2 - Medium
14,2 - Medium
15,2 - Medium
15,2 - Medium
15,2 - Medium
16,2 - Medium
17,2 - Medium
18,2 - Medium
19,2 - Medium
19,2 - Medium
19,2 - Medium
20,2 - Medium
21,2 - Medium
21,2 - Medium
21,2 - Medium
22,2 - Medium
23,2 - Medium
23,2 - Medium
23,2 - Medium
24,2 - Medium
25,2 - Medium
26,2 - Medium
26,2 - Medium
26,2 - Medium
26,2 - Medium
26,2 - Medium
27,2 - Medium
28,2 - Medium
28,2 - Medium
29,2 - Medium
29,2 - Medium
30,2 - Medium
31,2 - Medium
32,2 - Medium
33,2 - Medium
33,2 - Medium
34,2 - Medium
34,2 - Medium
35,2 - Medium
35,2 - Medium
36,2 - Medium
37,2 - Medium
38,2 - Medium
38,2 - Medium
39,2 - Medium
39,2 - Medium
40,2 - Medium
40,2 - Medium
41,2 - Medium
41,2 - Medium
42,2 - Medium
42,2 - Medium
43,2 - Medium
44,2 - Medium
45,2 - Medium
46,2 - Medium
46,2 - Medium
46,2 - Medium
47,2 - Medium
47,2 - Medium
48,2 - Medium
48,2 - Medium
49,2 - Medium
50,2 - Medium
51,2 - Medium
51,2 - Medium
52,2 - Medium
52,2 - Medium
53,2 - Medium
54,2 - Medium
54,2 - Medium
55,2 - Medium
55,2 - Medium
56,2 - Medium
57,2 - Medium
57,2 - Medium
57,2 - Medium
58,2 - Medium
58,2 - Medium
58,2 - Medium
58,2 - Medium
59,2 - Medium
59,2 - Medium
60,2 - Medium
61,2 - Medium
61,2 - Medium
62,2 - Medium
63,2 - Medium
64,2 - Medium
64,2 - Medium
64,2 - Medium
64,2 - Medium
64,2 - Medium
64,2 - Medium
65,2 - Medium
65,2 - Medium
66,2 - Medium
66,2 - Medium
67,2 - Medium
67,2 - Medium
68,2 - Medium
68,2 - Medium
69,2 - Medium
69,2 - Medium
70,2 - Medium
70,2 - Medium
71,2 - Medium
72,2 - Medium
72,2 - Medium
73,2 - Medium
73,2 - Medium
73,2 - Medium
73,2 - Medium
73,2 - Medium
73,2 - Medium
73,2 - Medium
74,2 - Medium
75,2 - Medium
75,2 - Medium
75,2 - Medium
76,2 - Medium
76,2 - Medium
76,2 - Medium
76,2 - Medium
77,2 - Medium
77,2 - Medium
77,2 - Medium
77,2 - Medium
78,2 - Medium
79,2 - Medium
79,2 - Medium
80,2 - Medium
80,2 - Medium
81,2 - Medium
81,2 - Medium
81,2 - Medium
82,2 - Medium
82,2 - Medium
82,2 - Medium
82,2 - Medium
82,2 - Medium
83,2 - Medium
83,2 - Medium
84,2 - Medium
84,2 - Medium
85,2 - Medium
85,2 - Medium
85,2 - Medium
85,2 - Medium
86,2 - Medium
86,2 - Medium
